"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 16"
"Maximum number of values per parameter: 3"
"Number of configurations: 28"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_ONYWY_KN2HE2LOM4","extra_0_2_NZSXOIDDN5WS45DPMRXXE33PFZQXG5DSNFSC443FOJ3GSY3FFZKGC43LKNSXE5TJMNSQ_KNSXE2LBNRUXUYLCNRSQ","extra_0_3_ORUXI3DF_KN2HE2LOM4","extra_0_4_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZZWQ33SORRXK5BOJFHFIRKOKQ_KBQXEY3FNRQWE3DF","extra_0_5_MNWGC43T_KN2HE2LOM4","extra_0_6_NZSXOIDBNZSHE33JMQXGG33OORSW45BOJFXHIZLOOQ_KBQXEY3FNRQWE3DF","path","scheme","type"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","v4ntp_","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","v4ntp_","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","v4ntp_","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","v4ntp_","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
