"ACTS Test Suite Generation: Wed Dec 28 18:44:26 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 21"
"Maximum number of values per parameter: 5"
"Number of configurations: 126"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_11_OF2WK4TZ_KN2HE2LOM4","extra_0_1_NZXV65DIOJSWCZDJNZTQ_MJXW63DFMFXA","extra_0_2_ONYGKY3JMFWF6ZTPNRSGK4Q_KN2HE2LOM4","extra_0_3_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZZWQ33SORRXK5BOJFHFIRKOKQ_KBQXEY3FNRQWE3DF","extra_0_4_ONSWC4TDNBPWE6LUMVZQ_MJ4XIZKBOJZGC6I","extra_0_5_NVSXG43BM5SV64TFMZSXEZLOMNSQ_KN2HE2LOM4","extra_0_6_MZXWYZDFOI_KN2HE2LOM4","extra_0_7_MFRWG33VNZ2A_KN2HE2LOM4","extra_0_8_MFYHAX3EMF2GC_IJ2W4ZDMMU","extra_8_10_MNXW2LTGONRWWLTLHEXHGZLBOJRWQX3BMNRW65LOOQ_KN2HE2LOM4","extra_8_9_MNXW2LTGONRWWLTLHEXHGZLBOJRWQX3GN5WGIZLS_KN2HE2LOM4","path","scheme","type"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"shortcut","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"shortcut","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","33::::","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"shortcut","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"shortcut","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"shortcut","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","33::::","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$"
"shortcut","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","33::::","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","33::::","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"shortcut","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"shortcut","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"shortcut","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"shortcut","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"shortcut","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
